-30	255,7,7,255	-30
-7	255,38,38,255	-7
-6	255,69,69,255	-6
-5	255,100,100,255	-5
-4	255,131,131,255	-4
-3	255,162,162,255	-3
-2	255,193,193,255	-2
-1	255,224,224,255	-1
0	255,255,248,155	0
1	255,255,217,124	1
2	255,255,186,124	2
3	255,255,155,93	3
4	255,255,124,93	4
5	255,255,93,62	5
6	255,255,62,62	6
